Provincia,Tipo de Parto,Rango de Edad,Cantidad,Año
Hermanas Mirabal,Cesarea,Menor de 15,2,2023
María Trinidad Sánchez,Cesarea,Menor de 15,5,2023
Samaná,Cesarea,Menor de 15,0,2023
Bahoruco,Cesarea,Menor de 15,13,2023
Barahona,Cesarea,Menor de 15,15,2023
Independencia,Cesarea,Menor de 15,0,2023
Pedernales,Cesarea,Menor de 15,5,2023
El Seibo,Cesarea,Menor de 15,5,2023
Hato Mayor,Cesarea,Menor de 15,6,2023
La Altagracia,Cesarea,Menor de 15,21,2023
La Romana,Cesarea,Menor de 15,14,2023
San Pedro De Macorís,Cesarea,Menor de 15,5,2023
Azua,Cesarea,Menor de 15,17,2023
Elías Piña,Cesarea,Menor de 15,3,2023
San Juan,Cesarea,Menor de 15,10,2023
Dajabón,Cesarea,Menor de 15,2,2023
Monte Cristi,Cesarea,Menor de 15,10,2023
Santiago Rodríguez,Cesarea,Menor de 15,4,2023
Valverde,Cesarea,Menor de 15,12,2023
La Vega,Cesarea,Menor de 15,28,2023
Monseñor Nouel,Cesarea,Menor de 15,9,2023
Sánchez Ramírez,Cesarea,Menor de 15,11,2023
Distrito Nacional,Vaginal,15-19,910,2023
Monte Plata,Vaginal,15-19,216,2023
Santo Domingo,Vaginal,15-19,2700,2023
Peravia,Vaginal,15-19,276,2023
San Cristóbal,Vaginal,15-19,781,2023
San José De Ocoa,Vaginal,15-19,61,2023
Espaillat,Vaginal,15-19,157,2023
Puerto Plata,Vaginal,15-19,409,2023
Santiago,Vaginal,15-19,954,2023
Duarte,Vaginal,15-19,209,2023
Hermanas Mirabal,Vaginal,15-19,29,2023
María Trinidad Sánchez,Vaginal,15-19,110,2023
Samaná,Vaginal,15-19,85,2023
Bahoruco,Vaginal,15-19,127,2023
Barahona,Vaginal,15-19,474,2023
Independencia,Vaginal,15-19,63,2023
Pedernales,Vaginal,15-19,122,2023
El Seibo,Vaginal,15-19,131,2023
Hato Mayor,Vaginal,15-19,113,2023
La Altagracia,Vaginal,15-19,471,2023
La Romana,Vaginal,15-19,467,2023
San Pedro De Macorís,Vaginal,15-19,453,2023
Azua,Vaginal,15-19,293,2023
Elías Piña,Vaginal,15-19,219,2023
San Juan,Vaginal,15-19,504,2023
Dajabón,Vaginal,15-19,125,2023
Monte Cristi,Vaginal,15-19,181,2023
Santiago Rodríguez,Vaginal,15-19,91,2023
Valverde,Vaginal,15-19,193,2023
La Vega,Vaginal,15-19,267,2023
Monseñor Nouel,Vaginal,15-19,136,2023
Sánchez Ramírez,Vaginal,15-19,101,2023
Distrito Nacional,Cesarea,15-19,964,2023
Monte Plata,Cesarea,15-19,181,2023
Santo Domingo,Cesarea,15-19,1972,2023
Peravia,Cesarea,15-19,249,2023
San Cristóbal,Cesarea,15-19,467,2023
San José De Ocoa,Cesarea,15-19,76,2023
Espaillat,Cesarea,15-19,170,2023
Puerto Plata,Cesarea,15-19,201,2023
Santiago,Cesarea,15-19,691,2023
Duarte,Cesarea,15-19,268,2023
Hermanas Mirabal,Cesarea,15-19,74,2023
María Trinidad Sánchez,Cesarea,15-19,203,2023
Samaná,Cesarea,15-19,68,2023
Bahoruco,Cesarea,15-19,174,2023
Barahona,Cesarea,15-19,338,2023
Independencia,Cesarea,15-19,17,2023
Pedernales,Cesarea,15-19,79,2023
El Seibo,Cesarea,15-19,81,2023
Hato Mayor,Cesarea,15-19,100,2023
La Altagracia,Cesarea,15-19,252,2023
La Romana,Cesarea,15-19,205,2023
San Pedro De Macorís,Cesarea,15-19,159,2023
Azua,Cesarea,15-19,260,2023
Elías Piña,Cesarea,15-19,52,2023
San Juan,Cesarea,15-19,254,2023
Dajabón,Cesarea,15-19,35,2023
Monte Cristi,Cesarea,15-19,145,2023
Santiago Rodríguez,Cesarea,15-19,61,2023
Valverde,Cesarea,15-19,258,2023
La Vega,Cesarea,15-19,407,2023
Monseñor Nouel,Cesarea,15-19,188,2023
Sánchez Ramírez,Cesarea,15-19,176,2023
Azua,Cesarea,15-19,240,2024
Azua,Cesarea,Menor de 15,13,2024
Azua,Vaginal,15-19,253,2024
Azua,Vaginal,Menor de 15,6,2024
Bahoruco,Cesarea,15-19,143,2024
Bahoruco,Cesarea,Menor de 15,8,2024
Bahoruco,Vaginal,15-19,150,2024
Bahoruco,Vaginal,Menor de 15,9,2024
Barahona,Cesarea,15-19,292,2024
Barahona,Cesarea,Menor de 15,16,2024
Barahona,Vaginal,15-19,458,2024
Barahona,Vaginal,Menor de 15,19,2024
Dajabón,Cesarea,15-19,45,2024
Dajabón,Cesarea,Menor de 15,3,2024
Dajabón,Vaginal,15-19,103,2024
Dajabón,Vaginal,Menor de 15,3,2024
Distrito Nacional,Cesarea,15-19,863,2024
Distrito Nacional,Cesarea,Menor de 15,49,2024
Distrito Nacional,Vaginal,15-19,770,2024
Distrito Nacional,Vaginal,Menor de 15,29,2024
Duarte,Cesarea,15-19,226,2024
Duarte,Cesarea,Menor de 15,13,2024
Duarte,Vaginal,15-19,167,2024
Duarte,Vaginal,Menor de 15,13,2024
El Seibo,Cesarea,15-19,64,2024
El Seibo,Cesarea,Menor de 15,6,2024
El Seibo,Vaginal,15-19,75,2024
El Seibo,Vaginal,Menor de 15,6,2024
Elías Piña,Cesarea,15-19,38,2024
Elías Piña,Cesarea,Menor de 15,1,2024
Elías Piña,Vaginal,15-19,218,2024
Elías Piña,Vaginal,Menor de 15,7,2024
Espaillat,Cesarea,15-19,141,2024
Espaillat,Cesarea,Menor de 15,2,2024
Espaillat,Vaginal,15-19,167,2024
Espaillat,Vaginal,Menor de 15,6,2024
Hato Mayor,Cesarea,15-19,93,2024
Hato Mayor,Cesarea,Menor de 15,5,2024
Hato Mayor,Vaginal,15-19,72,2024
Hato Mayor,Vaginal,Menor de 15,5,2024
Hermanas Mirabal,Cesarea,15-19,39,2024
Hermanas Mirabal,Cesarea,Menor de 15,3,2024
Hermanas Mirabal,Vaginal,15-19,17,2024
Hermanas Mirabal,Vaginal,Menor de 15,0,2024
Independencia,Cesarea,15-19,18,2024
Independencia,Cesarea,Menor de 15,1,2024
Independencia,Vaginal,15-19,55,2024
Independencia,Vaginal,Menor de 15,1,2024
La Altagracia,Cesarea,15-19,180,2024
La Altagracia,Cesarea,Menor de 15,16,2024
La Altagracia,Vaginal,15-19,410,2024
La Altagracia,Vaginal,Menor de 15,34,2024
La Romana,Cesarea,15-19,141,2024
La Romana,Cesarea,Menor de 15,15,2024
La Romana,Vaginal,15-19,311,2024
La Romana,Vaginal,Menor de 15,11,2024
La Vega,Cesarea,15-19,301,2024
La Vega,Cesarea,Menor de 15,9,2024
La Vega,Vaginal,15-19,267,2024
La Vega,Vaginal,Menor de 15,13,2024
María Trinidad Sánchez,Cesarea,15-19,146,2024
